id,text,timestamp,platform,user,ห้องพัก,บริการ,สถานที่ตั้ง
1,Air conditioning worked well and quietly. Room service took longer than expected.,2025-04-18,Google Maps,Priya,4,4,4
2,Check-in was quick and professional. Fitness room is small with limited equipment.,2025-08-31,Google Maps,Daniel,4,2,1
3,Staff were friendly and attentive throughout our stay. Hot water temperature fluctuated a little.,2025-09-22,Google Maps,Yusuf,5,4,2
4,Housekeeping kept everything neat each day. Street traffic noise was noticeable for lower floors.,2025-07-20,Google Maps,Maya,4,5,5
5,The room was spacious and very clean. We could hear music from nearby venues at night.,2025-07-28,Google Maps,Ivy,5,5,3
6,Rooftop pool offers a lovely view and a relaxing vibe. Breakfast items repeated after a couple of days.,2025-08-02,Google Maps,Yusuf,4,5,5
7,Rooftop pool offers a lovely view and a relaxing vibe. Room service took longer than expected.,2025-08-24,Google Maps,Karen,4,2,4
8,Air conditioning worked well and quietly. Street traffic noise was noticeable for lower floors.,2025-09-02,Google Maps,Zac,3,5,4
9,Air conditioning worked well and quietly. Parking can be tight on weekends.,2025-04-08,Google Maps,Siti,3,1,5
10,Rooftop pool offers a lovely view and a relaxing vibe. Fitness room is small with limited equipment.,2025-05-12,Google Maps,Robert,3,4,2
11,Lobby looks modern and welcoming. We could hear music from nearby venues at night.,2025-09-06,Google Maps,Ivy,5,2,4
12,Air conditioning worked well and quietly. Hot water temperature fluctuated a little.,2025-04-30,Google Maps,Priya,4,4,5
13,Air conditioning worked well and quietly. Fitness room is small with limited equipment.,2025-06-12,Google Maps,Chong,3,4,3
14,Air conditioning worked well and quietly. Pool towels ran out in the afternoon.,2025-09-20,Google Maps,Sophia,3,2,1
15,Air conditioning worked well and quietly. Fitness room is small with limited equipment.,2025-09-21,Google Maps,Ravi,3,2,4
16,Breakfast had plenty of choices and tasted good. We could hear music from nearby venues at night.,2025-09-05,Google Maps,Nur,5,2,3
17,Lobby looks modern and welcoming. Fitness room is small with limited equipment.,2025-08-04,Google Maps,Ivy,2,5,4
18,Lobby looks modern and welcoming. Fitness room is small with limited equipment.,2025-07-31,Google Maps,Adam,5,3,2
19,Housekeeping kept everything neat each day. Elevator wait times were longer during peak hours.,2025-05-22,Google Maps,Lucas,4,5,2
20,Staff were friendly and attentive throughout our stay. Parking can be tight on weekends.,2025-04-27,Google Maps,Ava,4,5,2
21,Breakfast had plenty of choices and tasted good. Fitness room is small with limited equipment.,2025-09-22,Google Maps,Ivy,4,4,3
22,Breakfast had plenty of choices and tasted good. We could hear music from nearby venues at night.,2025-05-08,Google Maps,Isabella,5,5,2
23,Air conditioning worked well and quietly. Parking can be tight on weekends.,2025-08-09,Google Maps,Mei Ling,5,5,3
24,Lobby looks modern and welcoming. Pool towels ran out in the afternoon.,2025-04-15,Google Maps,Wei Ming,5,5,3
